category,definition_or_keyword_scope
PAIN_SIDE_EFFECTS,"Physical pain, burning, soreness, nausea, dizziness, numbness, tingling, swelling, rash"
FATIGUE_WEAKNESS,"Tiredness, exhaustion, worn out, weak, unable to function, kicked by mule"
TREATMENT_SCHEDULING,"Appointments, scheduling changes, session coordination, time slots, rescheduling"
MEDICATION_SYMPTOM_MGT,"Pills, medications, drugs, side effects, constipation, interactions, dosage"
FINANCIAL_STRESS,"Bills, copays, costs, price, insurance, Medicaid, payment, afford, money tight"
EMPLOYMENT_STRAIN,"Work, job, employment, cashier, warehouse, income"
FOOD_BASIC_NEEDS,"Food, nutrition, eating, taste changes, utilities, heat, electricity"
TRANSPORTATION,"Car, gas, distance, parking, rides, commute, American Cancer Society Road to Recovery"
ADMIN_PAPERWORK,"Forms, documents, portal, applications, signatures, fill out"
SYSTEM_FRAGMENTATION,"Multiple providers, system fragmentation, coordinating care"
DIGITAL_COMMUNICATION,"Portal messages, email, text, phone, technology, small print, app, patient portal"
HOUSING_INSTABILITY,"Housing, living situation, living alone, homeless, rent, utilities"
ENVIRONMENTAL_SAFETY,"Safety, neighborhood, crime"
LANGUAGE_LITERACY,"English, Arabic, jargon, acronyms, confusing, health literacy, understand"
INFO_OVERLOAD,"Overwhelmed, confused, too much, mixed up, can't keep track"
EMOTIONAL_DISTRESS,"Angry, furious, fed up, exhausted, anxious, depressed, hopeless, scared, rattled, frustrated"
SOCIAL_ISOLATION,"Alone, lonely, isolated, estranged, lack of support, family"
TRUST_COMMUNICATION,"Skeptical, distrust, brushed off, not heard, dismissed, rush, sarcasm"
DISCRIMINATION_STIGMA,"Discrimination, stigma, prejudice"
